2020-05-01 23:37:24.7529|ERROR|MailSender|System.Net.Mail.SmtpException: The SMTP server requires a secure connection or the client was not authenticated. The server response was: 5.7.0 Authentication Required. Learn more at
   at System.Net.Mail.MailCommand.CheckResponse(SmtpStatusCode statusCode, String response)
   at System.Net.Mail.MailCommand.Send(SmtpConnection conn, Byte[] command, MailAddress from, Boolean allowUnicode)
   at System.Net.Mail.SmtpTransport.SendMail(MailAddress sender, MailAddressCollection recipients, String deliveryNotify, Boolean allowUnicode, SmtpFailedRecipientException& exception)
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   at MailSender.SendMail(String subject, String body, String[] toMails) in G:\project\My\LearnBug\Services\MailSender.cs:line 36
2020-05-01 23:41:04.7470|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c10db1cf has started in 626.6778 ms
2020-05-01 23:41:04.6049|TRACE|Hangfire.SqlServer.CountersAggregator|Records from the 'Counter' table aggregated.
2020-05-01 23:41:04.7620|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:a0619021 has started in 641.2716 ms
2020-05-01 23:41:04.8910|INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:11880:570d613a all the dispatchers started
2020-05-01 23:41:04.8210|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'AggregatedCounter' table.
2020-05-01 23:41:04.7890|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:82fd5bd6 has started in 668.2729 ms
2020-05-01 23:41:04.9910|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'Job' table...
2020-05-01 23:41:04.8210|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:16d936c5 has started in 703.9541 ms
2020-05-01 23:41:04.8910|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop DelayedJobScheduler:cf1e73c8 has started in 70.3568 ms
2020-05-01 23:41:04.9190|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop RecurringJobScheduler:04811f6c has started in 36.0606 ms
2020-05-01 23:41:05.1947|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'Job' table.
2020-05-01 23:41:05.2247|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'List' table...
2020-05-01 23:41:05.3787|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'List' table.
2020-05-01 23:41:05.4007|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'Set' table...
2020-05-01 23:41:05.4818|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'Set' table.
2020-05-01 23:41:05.5058|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'Hash' table...
2020-05-01 23:41:05.5738|TRACE|Hangfire.SqlServer.ExpirationManager|Outdated records removed from the 'Hash' table.
2020-05-01 23:41:09.3582|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:10.9705|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:16.0478|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:16.1198|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:21.2083|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:21.2553|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:26.3377|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:26.3377|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:31.3670|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:31.3826|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:34.0572|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:11880:570d613a heartbeat successfully sent
2020-05-01 23:41:34.0728|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:11880:570d613a waiting for 00:00:30 delay before sending a heartbeat
2020-05-01 23:41:36.3987|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:36.3987|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:41.4261|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:41.4261|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:48:26.1895|INFO|Hangfire.SqlServer.SqlServerObjectsInstaller|Start installing Hangfire SQL objects...
2020-05-01 23:48:26.8584|INFO|Hangfire.SqlServer.SqlServerObjectsInstaller|Hangfire SQL objects installed.
2020-05-01 23:48:26.9795|INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'SQL Server: .@learnbugdb'
2020-05-01 23:48:26.9945|INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: Queue poll interval: 00:00:15.
2020-05-01 23:48:27.0105|INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2020-05-01 23:48:27.1035|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:e34f89dc has started in 37.7282 ms
2020-05-01 23:48:27.1762|TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:3076:3846cd26 is announcing itself...
2020-05-01 23:48:27.6744|INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:3076:3846cd26 successfully announced in 475.1931 ms
2020-05-01 23:48:27.7154|INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:3076:3846cd26 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2020-05-01 23:48:27.7204|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:cf3a8936 has started in 21.5279 ms
2020-05-01 23:48:27.7624|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:3076:3846cd26 waiting for 00:00:30 delay before sending a heartbeat
2020-05-01 23:48:27.8074|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:8c19d7cd has started in 67.8099 ms
2020-05-01 23:48:27.7784|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:6529ed09 has started in 42.063 ms
2020-05-01 23:48:27.8294|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:48:27.8294|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:cef4f34f has started in 48.2984 ms
2020-05-01 23:48:27.8474|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop CountersAggregator:45070b0d has started in 18.3719 ms
2020-05-01 23:48:27.8624|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:df30a555 has started in 15.8659 ms
2020-05-01 23:48:27.8784|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:48:27.9254|INFO|Hangfire.Server.ServerWatchdog|3 servers were removed due to timeout
2020-05-01 23:48:27.9144|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'AggregatedCounter' table...
2020-05-01 23:48:27.9444|DEBUG|Hangfire.SqlServer.CountersAggregator|Aggregating records in 'Counter' table...
2020-05-01 23:48:27.8624|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:4be1ec9a has started in 25.0758 ms
2020-05-01 23:48:27.8784|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:81fd093b has started in 31.4389 ms
2020-05-01 23:48:27.8784|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:d6c23d6d has started in 42.7473 ms
