2020-05-21 19:45:09.7411|ERROR|MailSender|System.Net.Mail.SmtpException: Failure sending mail. ---> System.Net.WebException: The remote name could not be resolved: 'smtp.gmail.com'
   at System.Net.ServicePoint.GetConnection(PooledStream PooledStream, Object owner, Boolean async, IPAddress& address, Socket& abortSocket, Socket& abortSocket6)
   at System.Net.PooledStream.Activate(Object owningObject, Boolean async, GeneralAsyncDelegate asyncCallback)
   at System.Net.PooledStream.Activate(Object owningObject, GeneralAsyncDelegate asyncCallback)
   at System.Net.ConnectionPool.GetConnection(Object owningObject, GeneralAsyncDelegate asyncCallback, Int32 creationTimeout)
   at System.Net.Mail.SmtpConnection.GetConnection(ServicePoint servicePoint)
   at System.Net.Mail.SmtpTransport.GetConnection(ServicePoint servicePoint)
   at System.Net.Mail.SmtpClient.GetConnection()
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   --- End of inner exception stack trace ---
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   at MailSender.SendMail(String subject, String body, String[] toMails) in G:\project\My\LearnBug\Services\MailSender.cs:line 36
2020-05-21 19:55:40.9013|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:55:42.3192|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 heartbeat successfully sent
2020-05-21 19:55:42.3762|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 waiting for 00:00:30 delay before sending a heartbeat
2020-05-21 19:55:45.9527|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:55:45.9817|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:55:51.0193|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:55:51.0493|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:55:56.1154|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:55:56.1403|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:01.1791|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:01.2291|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:06.3257|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:06.3947|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:11.4910|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:11.5790|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:12.4342|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 heartbeat successfully sent
2020-05-21 19:56:12.4672|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 waiting for 00:00:30 delay before sending a heartbeat
2020-05-21 19:56:16.6950|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:16.7230|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:21.7561|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:21.7921|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:26.8814|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:26.9153|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:32.0448|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:32.0727|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:37.1090|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:37.1320|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:42.1618|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:42.1928|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:42.5159|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 heartbeat successfully sent
2020-05-21 19:56:42.5369|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 waiting for 00:00:30 delay before sending a heartbeat
2020-05-21 19:56:47.2278|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:47.2604|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:52.3126|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:52.3406|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:56:57.4337|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:56:57.4547|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:57:02.4909|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:57:02.5219|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:57:07.5521|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-21 19:57:07.5781|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-21 19:57:12.5666|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:18900:b0e6da85 heartbeat successfully sent
